UniversityName;NumStudents;WikiPageID
Ca' Foscari University of Venice;21000;463087
Cabrillo College;11033;1615527
Cadet College Rawalpindi;350;42402295
Cadi Ayyad University;102000;37478842
Cairn University;1558;19575612
Cairo University;231584;609874
Cal Poly Pomona College of Business Administration;4919;19360211
Cal Poly Pomona College of Education and Integrative Studies;1489;19360252
Cal Poly Pomona College of Engineering;5858;4540702
Cal Poly Pomona College of Environmental Design;1632;19360061
Cal Poly Pomona College of Letters, Arts, and Social Sciences;3472;54929617
Cal Poly San Luis Obispo College of Engineering;6091;2782669
Calcutta Boys' School;2200;3587221
Calcutta Business School;120;52007849
Caldwell University;2200;295119
Calhoun Community College;8480;3380864
Caliber International College;600;49393459
California Baptist University;11491;1538316
California College San Diego;1299;23474927
California Community Colleges;2100000;1824186
California Institute of Integral Studies;1510;950887
California Institute of Technology;2397;5786
California Northstate University College of Medicine;380;47963618
California Polytechnic State University, San Luis Obispo;22287;433230
California School for the Blind;82;7381424
California State Polytechnic University, Pomona;29704;489505
California State University, Bakersfield;11264;700091
California State University, Chico;16630;355576
California State University, Dominguez Hills;17763;700112
California State University, East Bay;13843;510993
California State University, Fresno;25341;556380
California State University, Fullerton;41408;577340
California State University, Long Beach;39313;383130
California State University, Monterey Bay;6871;700121
California State University, Northridge;38551;81640
California State University, Sacramento;31451;637852
California State University, San Bernardino;19182;221659
California State University, Stanislaus;10741;700127
California State University Channel Islands;6943;700101
California State University Maritime Academy;907;700064
California State University San Marcos;14643;383452
California Western School of Law;827;1936873
Calumet College of St. Joseph;834;7304747
Calvary Baptist Theological Seminary;106;33987024
Calvin Theological Seminary;379;1518367
Calvin University;3256;490397
Cambrian College;3174;887374
Cambridge Judge Business School;420;2793352
Cambridge University Law Society;2000;55666616
Camden County College;11000;3058734
Camden Military Academy;300;10098919
Camellia Institute of Technology;1500;23900106
Camellia School of Business Management;120;23176707
Cameron University;5589;859755
Camosun College;8696;625672
Camp Louise;450;18497275
Campbell County High School (Wyoming);1103;23722704
Campbell University;6185;2160265
Campbell University School of Osteopathic Medicine;162;36287861
Campbellsville University;12209;1838532
Campion College;160;2147103
Campion College (Regina, Saskatchewan);650;23269773
Campion School, Mumbai;800;5346066
Campus The Hague;7;42018708
Canadian College of Naturopathic Medicine;550;17232632
Canadian Institute of Technology;1000;39900572
Canadian International College;9000;19994011
Canadian Memorial Chiropractic College;800;3315964
Canadian University Dubai;1200;25035094
Canadore College;3500;533989
Canberra Institute of Technology;26941;2582386
Candler School of Theology;467;1866969
Canisius College;2630;479192
Canning College;293;2978868
Cape Breton University;4478;32092
Cape Cod Community College;6500;2317238
Cape Fear Community College;12172;21672732
Cape Peninsula University of Technology;33569;3197244
Capella University;38392;1264057
Capital University of Science & Technology;4000;47870090
Capitol Technology University;790;1215630
Caramoan Community College;2500;44473616
Cardiff Business School;3000;13980987
Cardinal Muench Seminary;10;54440991
Cardinal Newman College;3500;12000285
Cardinal Stritch University;1365;3259288
Caribbean Maritime University;3000;51209151
Caritas Bianchi College of Careers;369;9026627
Carl Albert State College;2400;3081098
Carl Sandburg College;1925;3971783
Carleton University;32116;209134
Carmel College (St Helens);2200;10783531
Carmel College Sixth Form;200;35087483
Carnegie Mellon University;15818;48093
Carol Davila University of Medicine and Pharmacy;10400;4060528
Carol I National Defence University;1897;17531529
Carolina University;1077;9094751
Carrington College (US);5200;19708987
Carson–Newman University;2725;1300870
Carthage College;2800;253605
Cascadia College;2300;1935812
Case Western Reserve University;12069;230547
Case Western Reserve University School of Law;422;3496766
Case Western Reserve University School of Medicine;1206;15470080
Casper College;4023;1107077
Castelldefels School of Telecommunications and Aerospace Engineering;1355;13549466
Castleknock College;708;2518227
Castleson High;100;21217736
Castleton University;2399;529679
Castletroy College;1200;7529518
Catawba College;1306;3353219
American InterContinental University;9952;2453077
American School of Milan;840;16132294
American University College of Arts and Sciences;1650;8432881
American University School of Communication;1215;8432294
American University School of Public Affairs;525;8428586
American University School of Public Affairs;1139;8428586
Bay Path University;3298;4656273
Bayelsa Medical University;500;65159931
Başkent University;9311;11321206
Beaconhouse National University;1540;18272041
Beechworth Secondary College;250;30073125
Belarusian State University of Informatics and Radioelectronics;17000;1409370
Bendigo TAFE;14000;17569286
Potchefstroom University for Christian Higher Education;12000;16738127
Power and Water University of Technology;2100;24665789
Poznań University of Technology;21000;38290
Practising School Yangon Institute of Education;7420;10191281
Prague City University;600;34514507
Prague University of Economics and Business;0;1887488
Prairie College;284;4186888
Prairie View A&M University;9350;2455367
Prananath College;3000;63308775
Pratt Institute;4875;778086
Pratt Institute School of Information;296;41442725
Preah Sihanouk Raja Buddhist University;500;68850985
Premier University;7551;12638738
Presbyterian Boys' Senior High School;3000;8298940
Presbyterian College;1172;1411381
Presbyterian University of East Africa;5000;28130267
Prescott College;840;2066728
Presidency College, Bangalore;4000;18590011
Presidency College, Chennai;4099;674232
Presidency University, Kolkata;3104;674234
President Theodore Roosevelt High School;1363;1011899
Presidents of the University of Montana;11865;29797051
Preston University (Pakistan);500;5073592
Pretoria Boys High School;1500;2293852
Pretoria High School for Girls;1300;2334189
Priestley College;2588;3152944
Primeasia University;6000;37470438
Prince Alfred College;1420;1580442
Prince George's Community College;40000;4060476
Prince Matriculation Higher Secondary School;3000;8517185
Prince Sattam bin Abdulaziz University;30000;34183859
Prince Sultan Aviation Academy;6700;6809926
Prince Sultan University;3500;1631959
Prince of Peace Lutheran College;775;34585580
Prince of Songkla University;34000;1448335
Princess Nora bint Abdul Rahman University;33825;31830373
Princeton School of Public and International Affairs;190;449646
Princeton School of Public and International Affairs;300;449646
Princeton University;8419;23922
Princeton University Department of Mathematics;70;58434209
Prithvi Narayan Campus;16069;23478792
Private University of the North;10000;10570980
Priyadarshini Institute of Engineering and Technology;1000;47591926
Pro-Act by VTC;9510;61291991
Professional Business School of Higher Education LIBERTAS;3000;33057349
Professionals' Academy of Commerce;5000;32693130
Program in Liberal Medical Education;60;747523
Protestant Theological Institute of Cluj;188;11254159
Protestant University in the Congo;8000;63445995
Providence College;4816;239914
Pryazovskyi State Technical University;16000;37578532
Prydniprovska State Academy of Civil Engineering and Architecture;9000;24926632
Pskov State Polytechnic Institute;7000;28955464
Pskov State University;10616;63553798
Pt. Jawahar Lal Nehru Government Medical College and Hospital, Chamba;440;53920295
Pt. Sambhunath University;5000;65448428
Public College, Samana;3000;44277901
Public University of El Alto;33480;66986252
Public Youth Campus;4000;67217136
Puebla Institute of Technology;6329;30772082
Pueblo Community College;5592;20640378
Pulchowk Campus;2000;8017805
Pune Institute of Computer Technology;2550;2369152
Punjab University College of Information Technology;3000;14997567
Purbanchal University;35000;2707383
Purbaya Polytechnic Institute;200;15245669
Purdue University;49639;23757
Purdue University Fort Wayne;8298;36737863
Purdue University Global;43927;56921159
Purdue University Northwest;9363;46352437
Purdue University system;118686;3598793
Puri Zilla School;1500;27885620
Purulia Polytechnic;550;22424490
Purwanchal Campus;1600;43796839
Pusa Institute of Technology;2300;6822010
Pwani University;8000;39384859
Pyramids Higher Institute for Engineering and Technology;2500;68694029
Pázmány Péter Catholic University;7910;2763164
Pädagogische Hochschule Schwäbisch Gmünd;2800;62143291
QSI International School of Phuket;68;41572793
Qarshi University;350;38459738
Qassim University;75000;18621275
Qazvin Islamic Azad University;15000;30578243
Qingdao University;46000;1498699
Qingdao University of Science and Technology;30000;1479349
Qingdao University of Technology;30;10536913
Qinghai University;27000;1750049
Qiqihar Medical University;15000;22164785
Quaid-e-Awam University of Engineering, Science & Technology;4200;22331403
Quaid-e-Azam Medical College;1600;13389872
Quaid-i-Azam University;13000;736973
Quantic School of Business and Technology;15000;68567555
Queen's College, Hong Kong;785;590161
Queen's University Faculty of Law;496;3328383
Queen's University at Kingston;31785;7955551
Queen Elizabeth School, Hong Kong;860;4562331
Queen Maud University College;1200;10402529
Queens College, City University of New York;18494;309698
Queens University of Charlotte;2400;2993166
Queensland Conservatorium Griffith University;800;3644262
Queensland University of Technology;52672;198332
Quezon City University;8693;28747555
Quinnipiac University;9744;498523
Quinnipiac University School of Law;390;1713339
Roberts Wesleyan University;1670;449984
Robertsbridge Community College;690;16545551
Robeson Community College;1671;28068287
Rochester Community and Technical College;8000;1424987
Rochester Institute of Technology of Dubai;700;15401609
Rock Springs High School;1386;26672650
Rockford University;1272;1767013
Rockhurst University;2980;346949
Rockingham Community College;2254;5590645
Rocky Mountain College;944;2174936
Rocky Mountain University of Health Professions;775;31060338
Roger Williams University;4000;1250776
Rogers State University;4300;1699269
Rohini College of Engineering & Technology;2500;39665318
Rollins College;3127;494448
Roma Tre University;35338;2097545
Rome University of Fine Arts;1200;50414047
Roorkee Institute of Technology;2000;39494094
Roosevelt University;6391;2084233
Rosalind Franklin University of Medicine and Science;2099;1403791
Rosemont College;1119;6186131
Rosenheim University of Applied Sciences;6;21444947
Roskilde University;8045;90455
Rosny College;984;1657445
Rostov State Medical University;7000;17118647
Rottenburg University of Applied Forest Sciences;850;19145580
Rotterdam School of Management, Erasmus University;10000;2251050
Rotterdam University of Applied Sciences;39000;12379326
Rovaniemi University of Applied Sciences;3079;32746766
Rowan University;23000;859478
Roxbury Community College;2382;8185472
Roy J. and Lucille A. Carver College of Medicine;600;27353095
Royal Academy of Art, The Hague;890;4367553
Royal College, Colombo;9100;30857412
Royal College of Art;2300;269757
Royal Danish Academy of Music;400;5443758
Royal Guard of Oman Technical College;382;8068836
Royal Military Academy (Belgium);850;11083791
Royal Military College, Duntroon;425;478799
Royal School of Library and Information Science;800;15965521
Royal University of Agriculture;9527;22305309
Royal University of Dhaka;4000;8382175
Royal University of Law and Economics;15672;8603822
Royal Welsh College of Music & Drama;779;4466560
Ruhr University Bochum;42425;246889
Rumbek University;1500;32469024
Salve Regina University;2600;27175676
Sam Higginbottom University of Agriculture, Technology and Sciences;12331;6309587
Sam Houston State University;21679;639967
Sam M. Walton College of Business;6132;17628407
Samar College;5000;64394066
Samara National Research University;16976;48323412
Samara State Technical University;18396;60468786
Samarkand State Medical University;8133;66858162
Samarra University;8205;70413260
Sami Shamoon College of Engineering;6500;57999048
Sampson Community College;2000;28068303
Samrat Ashok Technological Institute;2500;11743200
Samtse College of Education;350;34930642
San Beda College Alabang;7000;25322623
San Beda University;8500;1793985
San Bernardino Community College District;18000;29145507
San Bernardino Valley College;17044;3137849
San Cristóbal of Huamanga University;8984;1051263
San Diego Christian College;681;3519873
San Diego City College;16852;2054059
San Diego College of Continuing Education;40000;23806872
San Diego Community College District;101879;6018094
San Diego State University College of Engineering;4103;6706750
San Diego State University College of Professional Studies & Fine Arts;4857;6707750
San Francisco Conservatory of Music;480;1517577
San Jacinto College;30000;334228
San Joaquin Delta College;18536;4608666
San Jose City College;10139;1284612
San Jose State University;33849;378504
San Juan de Dios Educational Foundation;300;8805231
San Mateo County Community College District;45000;4530113
San Mateo National High School;3432;31279699
San Sebastián University;35251;2483077
Sanda University;10000;919895
Sandhills Community College;4000;1020984
Sandra Day O'Connor College of Law;812;8939577
Sandringham College;1365;16764120
Sangji University;7576;25120893
Sanjiang University;18000;3137351
Sankt Georgen Graduate School of Philosophy and Theology;360;7959336
Sankta Birgittas folkhögskola;60;30718743
Sanming University;14054;56964618
Sant'Anna School of Advanced Studies;1652;3094384
Santa Ana College;37916;1283853
Santa Barbara City College;18848;187828
Santa Clara University;9015;433127
Santa Clara University College of Arts & Sciences;3025;31625877
Santa Clara University School of Law;880;1054076
Santa Fe College;12607;4151907
Santa Monica College;9351;1195676
Santa Monica College;16925;1195676
Santa Monica College;29615;1195676
Santa Rosa Junior College;26674;1671039
Santana High School;1616;3752717
Santiago Canyon College;16387;4067763
Sapahar Government College;4000;32188720
Sapientia University;2239;7908331
Sapienza University of Rome;112564;1222318
Sapir Academic College;8000;15033580
Sarah Lawrence College;1675;300325
Sarah Tucker College;3300;23344838
Sarajevo Music Academy;500;8990544
Saratov State University;26342;4741505
Sardar Bahadur Khan Women's University;8000;3553164
Sardar Vallabhbhai National Institute of Technology, Surat;538269;2094228
Sardar Vallabhbhai Patel Institute of Technology;3000;4068918
Sardar Vallabhbhai Patel International School of Textiles & Management;291;39414211
Sargodha Medical College;1530110;38083597
Saskatchewan Indian Institute of Technologies;1400;549428
Saskatchewan Polytechnic;14176;462340
Saskatoon Business College;350;44744846
Satakunta University of Applied Sciences;6000;5393433
Sathyabama Institute of Science and Technology;17000;2292408
